,Model,Brand,DriveType,BodyType
0,595,Abarth,Front,Hatchback
1,595,Abarth,Front,Hatchback
2,695,Abarth,Other,Hatchback
3,Romeo,Alfa,Front,Hatchback
4,Romeo,Alfa,Front,Hatchback
5,Romeo,Alfa,Front,Sedan
6,Romeo,Alfa,Front,Hatchback
7,Romeo,Alfa,Front,Hatchback
8,Romeo,Alfa,AWD,SUV
9,Romeo,Alfa,Front,Hatchback
10,Romeo,Alfa,Front,Hatchback
11,Romeo,Alfa,Front,Hatchback
12,Romeo,Alfa,Front,Wagon
13,Romeo,Alfa,Front,Hatchback
14,Romeo,Alfa,AWD,SUV
15,Romeo,Alfa,Front,Sedan
16,Romeo,Alfa,Front,Hatchback
17,Martin,Aston,Rear,Coupe
18,Martin,Aston,Rear,Coupe
19,Martin,Aston,Rear,Convertible
20,Martin,Aston,Rear,Coupe
21,Martin,Aston,AWD,SUV
22,A3,Audi,AWD,Sedan
23,Q3,Audi,Front,SUV
24,Q7,Audi,AWD,SUV
25,Q3,Audi,Front,SUV
26,SQ5,Audi,AWD,SUV
27,Q7,Audi,AWD,SUV
28,Q8,Audi,AWD,SUV
29,S3,Audi,AWD,Sedan
30,Q3,Audi,AWD,SUV
31,A4,Audi,Front,Sedan
32,A5,Audi,AWD,Coupe
33,S3,Audi,AWD,Sedan
34,Q5,Audi,AWD,SUV
35,A3,Audi,Front,Other
36,A1,Audi,Front,Hatchback
37,A3,Audi,Front,Sedan
38,Q3,Audi,Front,SUV
39,Q3,Audi,AWD,SUV
40,Q3,Audi,Front,SUV
41,Q5,Audi,AWD,SUV
42,A5,Audi,AWD,Convertible
43,A3,Audi,Front,Hatchback
44,A5,Audi,AWD,Coupe
45,A4,Audi,AWD,Sedan
46,Q3,Audi,Front,SUV
47,A4,Audi,Front,Sedan
48,Q5,Audi,AWD,SUV
49,A3,Audi,Front,Hatchback
50,RS,Audi,AWD,Other
51,A5,Audi,AWD,Coupe
52,A3,Audi,Front,Hatchback
53,S4,Audi,AWD,Sedan
54,Q3,Audi,AWD,SUV
55,S3,Audi,AWD,Sedan
56,A3,Audi,Front,Other
57,Q7,Audi,AWD,SUV
58,A3,Audi,Front,Sedan
59,Q7,Audi,AWD,SUV
60,Q5,Audi,AWD,SUV
61,S5,Audi,AWD,Coupe
62,SQ5,Audi,AWD,SUV
63,A3,Audi,AWD,Convertible
64,Q5,Audi,AWD,SUV
65,SQ5,Audi,AWD,SUV
66,Q7,Audi,AWD,SUV
67,A3,Audi,Front,Sedan
68,SQ5,Audi,AWD,SUV
69,A1,Audi,Front,Hatchback
70,Q3,Audi,Front,SUV
71,A1,Audi,Front,Hatchback
72,RS,Audi,AWD,Wagon
73,RS,Audi,AWD,SUV
74,Q3,Audi,Front,SUV
75,Q3,Audi,Front,SUV
76,Q5,Audi,AWD,SUV
77,A3,Audi,Front,Sedan
78,A3,Audi,Front,Sedan
79,Q5,Audi,AWD,SUV
80,Q5,Audi,AWD,SUV
81,Q7,Audi,AWD,SUV
82,Q5,Audi,AWD,SUV
83,A5,Audi,AWD,Coupe
84,Q5,Audi,AWD,SUV
85,TT,Audi,Front,Coupe
86,Q7,Audi,AWD,SUV
87,Q7,Audi,AWD,SUV
88,A4,Audi,AWD,Sedan
89,SQ7,Audi,AWD,SUV
90,A4,Audi,AWD,Wagon
91,A5,Audi,Front,Coupe
92,Q7,Audi,AWD,SUV
93,Q5,Audi,AWD,SUV
94,A5,Audi,Other,Coupe
95,A6,Audi,Front,Sedan
96,Q5,Audi,AWD,SUV
97,Q5,Audi,AWD,SUV
98,A4,Audi,Front,Sedan
99,Q2,Audi,AWD,SUV
100,S5,Audi,AWD,Hatchback
101,Q5,Audi,AWD,SUV
102,Q5,Audi,AWD,SUV
103,A5,Audi,AWD,Coupe
104,RS3,Audi,AWD,Hatchback
105,Q5,Audi,AWD,SUV
106,Q3,Audi,Front,SUV
107,RS5,Audi,AWD,Hatchback
108,Q7,Audi,AWD,SUV
109,E-Tron,Audi,AWD,SUV
110,SQ7,Audi,AWD,SUV
111,Q7,Audi,AWD,SUV
112,Q7,Audi,AWD,SUV
113,A5,Audi,Other,Convertible
114,RS,Audi,AWD,SUV
115,TT,Audi,AWD,Convertible
116,S3,Audi,AWD,Sedan
117,A3,Audi,Front,Hatchback
118,A3,Audi,AWD,Sedan
119,A8,Audi,AWD,Sedan
120,A4,Audi,Front,Sedan
121,Q5,Audi,AWD,SUV
122,Q3,Audi,Front,SUV
123,RS3,Audi,AWD,Sedan
124,Q3,Audi,Front,SUV
125,Q2,Audi,Front,SUV
126,SQ7,Audi,AWD,SUV
127,A3,Audi,Front,Convertible
128,A5,Audi,AWD,Coupe
129,A3,Audi,Front,Convertible
130,RS,Audi,AWD,SUV
131,Q7,Audi,AWD,SUV
132,S5,Audi,Other,Hatchback
133,Q7,Audi,AWD,SUV
134,Q5,Audi,AWD,SUV
135,A6,Audi,Front,Sedan
136,S3,Audi,AWD,Sedan
137,SQ5,Audi,AWD,SUV
138,A1,Audi,Front,Hatchback
139,Q3,Audi,Front,SUV
140,S3,Audi,AWD,Sedan
141,A3,Audi,AWD,Sedan
142,A3,Audi,AWD,Sedan
143,A4,Audi,AWD,Wagon
144,A1,Audi,Front,Hatchback
145,Q7,Audi,AWD,SUV
146,TT,Audi,AWD,Convertible
147,A4,Audi,AWD,Sedan
148,SQ5,Audi,AWD,SUV
149,Q5,Audi,AWD,SUV
150,A1,Audi,Front,Hatchback
151,A3,Audi,Front,Other
152,A3,Audi,Front,Hatchback
153,Q7,Audi,AWD,SUV
154,Q5,Audi,AWD,SUV
155,Q3,Audi,AWD,SUV
156,Q7,Audi,AWD,SUV
157,SQ5,Audi,AWD,SUV
158,A3,Audi,Front,Sedan
159,A3,Audi,Front,Hatchback
160,Q7,Audi,AWD,SUV
161,Q3,Audi,AWD,SUV
162,Q3,Audi,AWD,SUV
163,Q5,Audi,AWD,SUV
164,A5,Audi,Other,Convertible
165,Q5,Audi,AWD,SUV
166,A4,Audi,Front,Sedan
167,Q5,Audi,AWD,SUV
168,A6,Audi,AWD,Sedan
169,A1,Audi,Front,Hatchback
170,A6,Audi,Front,Sedan
171,Q2,Audi,Front,SUV
172,Q3,Audi,Front,SUV
173,Q3,Audi,Front,SUV
174,A1,Audi,Front,Hatchback
175,Q3,Audi,AWD,SUV
176,RS4,Audi,AWD,Wagon
177,SQ5,Audi,AWD,SUV
178,Q5,Audi,AWD,SUV
179,A5,Audi,AWD,Hatchback
180,A3,Audi,Front,Hatchback
181,Q3,Audi,AWD,SUV
182,A6,Audi,Front,Sedan
183,Q5,Audi,AWD,SUV
184,A4,Audi,Front,Sedan
185,Q3,Audi,Front,SUV
186,A6,Audi,AWD,Sedan
187,A1,Audi,Front,Hatchback
188,Q2,Audi,Front,SUV
189,A3,Audi,Front,Sedan
190,S3,Audi,AWD,Hatchback
191,Q2,Audi,Front,SUV
192,A5,Audi,AWD,Hatchback
193,A4,Audi,AWD,Wagon
194,A3,Audi,Front,Convertible
195,A3,Audi,Front,Sedan
196,A3,Audi,Front,Hatchback
197,Q5,Audi,AWD,SUV
198,Q7,Audi,Other,Wagon
199,A1,Audi,Other,Hatchback
200,Q3,Audi,Front,SUV
201,Q3,Audi,Front,SUV
202,A6,Audi,Front,Sedan
203,A3,Audi,AWD,Hatchback
204,Q5,Audi,Front,SUV
205,Q2,Audi,Front,SUV
206,Q5,Audi,AWD,SUV
207,A3,Audi,Front,Hatchback
208,RS4,Audi,AWD,Wagon
209,A1,Audi,Front,Hatchback
210,A1,Audi,Front,Hatchback
211,SQ5,Audi,AWD,SUV
212,RS,Audi,AWD,Hatchback
213,Q2,Audi,AWD,SUV
214,S3,Audi,AWD,Sedan
215,Q5,Audi,AWD,SUV
216,Q5,Audi,AWD,SUV
217,Q7,Audi,AWD,SUV
218,Q7,Audi,AWD,SUV
219,RS,Audi,AWD,SUV
220,A6,Audi,AWD,Sedan
221,Q7,Audi,AWD,SUV
222,A7,Audi,AWD,Hatchback
223,Q8,Audi,AWD,SUV
224,A5,Audi,AWD,Other
225,Q3,Audi,Front,SUV
226,Q3,Audi,AWD,SUV
227,RS6,Audi,AWD,Wagon
