,Brand,Model,Year,UsedOrNew
0,Ssangyong,Rexton,2022,DEMO
1,MG,MG3,2022,USED
2,BMW,430I,2022,USED
3,Mercedes-Benz,E500,2011,USED
4,Renault,Arkana,2022,USED
5,Toyota,Estima,2004,USED
6,Land,Rover,2017,USED
7,Nissan,Pulsar,2000,USED
8,Toyota,86,2013,USED
9,Honda,Jazz,2014,USED
10,Toyota,HiAce,2009,USED
11,Toyota,HiAce,2018,USED
12,Honda,City,2015,USED
13,Toyota,HiAce,2017,USED
14,Toyota,HiAce,2016,USED
15,Volkswagen,Golf,2012,USED
16,BMW,X3,2014,USED
17,Mitsubishi,Outlander,2013,USED
18,BMW,118D,2011,USED
19,Ford,Fiesta,2014,USED
20,Mitsubishi,Outlander,2012,USED
21,Ford,Fiesta,2013,USED
22,Volkswagen,Amarok,2023,NEW
23,Honda,Jazz,2018,USED
24,Subaru,Outback,2012,USED
25,Mitsubishi,Mirage,2018,USED
26,Toyota,Camry,2005,USED
27,BMW,3,2013,USED
28,Hyundai,I45,2011,USED
29,Ford,Territory,2015,USED
30,Nissan,Qashqai,2018,USED
31,Volkswagen,Golf,2013,USED
32,Volkswagen,T-Cross,2023,NEW
33,Hyundai,Tucson,2015,USED
34,Ford,Focus,2016,USED
35,Nissan,X-Trail,2019,USED
36,Toyota,Corolla,2021,USED
37,Toyota,Yaris,2007,USED
38,Jeep,Grand,2012,USED
39,Toyota,Corolla,2010,USED
40,Toyota,HiAce,,USED
41,Jeep,Patriot,2015,USED
42,Toyota,HiAce,2003,USED
43,Volvo,S60,2013,USED
44,Mitsubishi,Triton,2016,USED
45,Mercedes-Benz,E250,2010,USED
46,Mercedes-Benz,A250,2013,USED
47,Toyota,86,2012,USED
48,Mazda,CX-5,2022,USED
49,Toyota,Corolla,2010,USED
50,Ford,Falcon,2013,USED
51,Abarth,595,2021,USED
52,Honda,CR-V,2014,USED
53,Toyota,Corolla,2007,USED
54,Toyota,HiAce,2016,USED
55,Hyundai,I30,2012,USED
56,Mazda,6,2013,USED
57,Toyota,Kluger,2008,USED
58,Hyundai,Santa,2018,USED
59,BMW,X3,2012,USED
60,Holden,Cascada,2016,USED
61,Mercedes-Benz,ML320,2006,USED
62,Mitsubishi,Lancer,2009,USED
63,Audi,A5,2014,USED
64,Kia,RIO,2018,USED
65,Jeep,Cherokee,2015,USED
66,Volkswagen,Tiguan,2011,USED
67,Mitsubishi,ASX,2012,USED
68,BMW,220I,2016,USED
69,Hyundai,Tucson,2022,USED
70,Mazda,3,2011,USED
71,Volkswagen,Tiguan,2023,NEW
72,Hyundai,Imax,2014,USED
73,Toyota,Yaris,2014,USED
74,Toyota,Kluger,2016,USED
75,Mitsubishi,Lancer,2013,USED
