,Brand,Year,Model,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
0,Abarth,2021,595,2021 Abarth 595 Competizione,USED,Manual,"4 cyl, 1.4 L",Front,Premium,6 L / 100 km,13200,Black / Black,"Ryde, NSW",4 cyl,Hatchback, 3 Doors, 4 Seats,36990
1,Abarth,2021,595,2021 Abarth 595 Competizione,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.8 L / 100 km,14901,Grey / Black,"Pakenham, VIC",4 cyl,Hatchback, 3 Doors, 4 Seats,37990
2,Abarth,2022,695,2022 Abarth 695 Competizione,DEMO,-,-,Other,-,-,17,- / Black Leather Seats,"Fyshwick, ACT",-,Hatchback,,,44824
3,Alfa,2014,Romeo,2014 Alfa Romeo Giulietta Distinctive,USED,Manual,"4 cyl, 1.4 L",Front,Premium,5.8 L / 100 km,136311,Black / -,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,12995
4,Alfa,2015,Romeo,2015 Alfa Romeo Giulietta Quadrifoglio Verde,USED,Automatic,"4 cyl, 1.7 L",Front,Premium,7 L / 100 km,98446,White / Black Leather,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,24995
5,Alfa,2008,Romeo,2008 Alfa Romeo 159 2.2 JTS,USED,Automatic,"4 cyl, 2.2 L",Front,Premium,9.2 L / 100 km,104776,Grey / Black,"Ringwood, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,12890
6,Alfa,2017,Romeo,2017 Alfa Romeo Giulietta Veloce TCT,USED,Automatic,"4 cyl, 1.7 L",Front,Premium,6.8 L / 100 km,52820,Red / -,"Welshpool, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,28999
7,Alfa,2014,Romeo,2014 Alfa Romeo Mito Progression,USED,Manual,"4 cyl, 1.4 L",Front,Premium,5.6 L / 100 km,92500,White / Black,"Hendra, QLD",4 cyl,Hatchback, 3 Doors, 5 Seats,10692
8,Alfa,2019,Romeo,2019 Alfa Romeo Stelvio Quadrifoglio,USED,Automatic,"6 cyl, 2.9 L",AWD,Premium,10.2 L / 100 km,63319,Blue / Black,"Nunawading, VIC",6 cyl,SUV, 4 Doors, 5 Seats,91990
9,Alfa,2015,Romeo,2015 Alfa Romeo Giulietta Quadrifoglio Verde,USED,Automatic,"4 cyl, 1.7 L",Front,Premium,7 L / 100 km,52269,Red / Black,"Chatswood, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,22880
10,Alfa,2013,Romeo,2013 Alfa Romeo Mito,USED,Manual,-,Front,Premium,-,115050,Red / Grey,"Minchinbury, NSW",-,Hatchback,,,10995
11,Alfa,2013,Romeo,2013 Alfa Romeo Giulietta Progression 1.4,USED,Manual,"4 cyl, 1.4 L",Front,Premium,5.9 L / 100 km,154400,- / -,"Dandenong, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,8999
12,Alfa,2012,Romeo,2012 Alfa Romeo 159 Sportwagon 2.4 JTD TI,USED,Automatic,"5 cyl, 2.4 L",Front,Diesel,8 L / 100 km,199379,Black / Black,"Thomastown, VIC",5 cyl,Wagon, 4 Doors, 5 Seats,12990
13,Alfa,2014,Romeo,2014 Alfa Romeo Mito Progression,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.5 L / 100 km,215977,Grey / -,"Laverton North, VIC",4 cyl,Hatchback, 3 Doors, 5 Seats,8999
14,Alfa,2021,Romeo,2021 Alfa Romeo Stelvio Veloce,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7 L / 100 km,2100,Blue / -,"Fyshwick, ACT",4 cyl,SUV, 4 Doors, 5 Seats,76830
15,Alfa,2006,Romeo,2006 Alfa Romeo 156 JTS,USED,Manual,"4 cyl, 2 L",Front,Premium,9.5 L / 100 km,90000,Cream / -,"Sydney, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,88
16,Alfa,2015,Romeo,2015 Alfa Romeo Giulietta Quadrifoglio Verde,USED,Automatic,"4 cyl, 1.7 L",Front,Premium,7 L / 100 km,132907,Grey / -,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,15800
17,Aston,2023,Martin,2023 Aston Martin DB11 AMR,NEW,Automatic,"12 cyl, 5.2 L",Rear,Premium,11.4 L / 100 km,- / -,3 years / Unlimited km,,12 cyl,Coupe, 2 Doors, 4 Seats,437400
18,Aston,2022,Martin,2022 Aston Martin Vantage,USED,Automatic,-,Rear,Premium,-,98,White / -,"Laverton North, VIC",-,Coupe,,,399990
19,Aston,2010,Martin,2010 Aston Martin DB9 Volante,USED,Automatic,"12 cyl, 5.9 L",Rear,Premium,16.5 L / 100 km,77296,- / Burgundy,"Moorooka, QLD",12 cyl,Convertible, 2 Doors, 4 Seats,119990
20,Aston,2006,Martin,2006 Aston Martin DB9,USED,Automatic,"12 cyl, 5.9 L",Rear,Premium,16.5 L / 100 km,94496,Black / -,"Croydon, NSW",12 cyl,Coupe, 2 Doors, 4 Seats,94999
21,Aston,2021,Martin,2021 Aston Martin DBX,DEMO,Automatic,"8 cyl, 4 L",AWD,Premium,12.4 L / 100 km,13117,Grey / Obsidian Black,"Southport, QLD",8 cyl,SUV, 5 Doors, 5 Seats,369000
22,Audi,2018,A3,2018 Audi A3 2.0 Tfsi Quattro S Line,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.1 L / 100 km,61811,Black / -,"Bentley, WA",4 cyl,Sedan, 4 Doors, 5 Seats,35996
23,Audi,2022,Q3,2022 Audi Q3 35 Tfsi S Line,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,7.3 L / 100 km,13000,White / Black,"Artarmon, NSW",4 cyl,SUV, 4 Doors, 5 Seats,62890
24,Audi,2014,Q7,2014 Audi Q7 3.0 TDI Quattro,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,7.4 L / 100 km,145529,Grey / -,"Port Melbourne, VIC",6 cyl,SUV, 4 Doors, 7 Seats,28980
25,Audi,2019,Q3,2019 Audi Q3 35 Tfsi S Tronic,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,7.2 L / 100 km,54143,Black / Black,"Maryville, NSW",4 cyl,SUV, 4 Doors, 5 Seats,42980
26,Audi,2014,SQ5,2014 Audi SQ5 3.0 TDI Quattro,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6.8 L / 100 km,82548,Grey / Black,"Seaford, VIC",6 cyl,SUV, 5 Doors, 5 Seats,43999
27,Audi,2015,Q7,2015 Audi Q7 3.0 TDI Quattro,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,7.4 L / 100 km,126292,Black / -,"Coburg North, VIC",6 cyl,SUV, 4 Doors, 7 Seats,29990
28,Audi,2019,Q8,2019 Audi Q8 55 Tfsi Quattro (hybrid),USED,Automatic,"6 cyl, 3 L",AWD,Hybrid,9.2 L / 100 km,47878,Silver / -,"Rozelle, NSW",6 cyl,SUV, 4 Doors, 5 Seats,95800
29,Audi,2016,S3,2016 Audi S3 2.0 Tfsi Quattro,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.9 L / 100 km,122811,Black / -,"Liverpool, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,36950
30,Audi,2015,Q3,2015 Audi Q3 2.0 TDI Quattro (110KW),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.2 L / 100 km,132000,Grey / Black,"Sumner, QLD",4 cyl,SUV, 4 Doors, 5 Seats,21650
31,Audi,2021,A4,2021 Audi A4 35 Tfsi S Line Mhev,USED,Automatic,"4 cyl, 2 L",Front,Premium,6.1 L / 100 km,25431,White / -,"Ryde, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,51600
32,Audi,2018,A5,2018 Audi A5 2.0 Tfsi Quattro S Tronic Sprt,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.5 L / 100 km,49472,White / Black,"Hoppers Crossing, VIC",4 cyl,Coupe, 2 Doors, 4 Seats,52990
33,Audi,2015,S3,2015 Audi S3 2.0 Tfsi Quattro,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.9 L / 100 km,49264,Grey / -,"Beresfield, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,43800
34,Audi,2009,Q5,2009 Audi Q5 3.0 TDI Quattro,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,7.5 L / 100 km,163535,Silver / Black,"Petersham, NSW",6 cyl,SUV, 4 Doors, 5 Seats,14950
35,Audi,2019,A3,2019 Audi A3 40 Tfsi S Line Plus,USED,Automatic,"4 cyl, 2 L",Front,Premium,6.1 L / 100 km,46595,Grey / Black,"Pennant Hills, NSW",4 cyl,Other, 4 Doors, 5 Seats,41880
36,Audi,2014,A1,2014 Audi A1 Sportback 1.4 Tfsi Attraction,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.3 L / 100 km,46961,Red / -,"Kirrawee, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,15683
37,Audi,2014,A3,2014 Audi A3 1.4 Tfsi Attraction COD,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,4.7 L / 100 km,84510,Grey / Grey,"Burswood, WA",4 cyl,Sedan, 4 Doors, 5 Seats,25900
38,Audi,2015,Q3,2015 Audi Q3 1.4 Tfsi (110KW),USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.9 L / 100 km,224604,Black / Fz/Black,"Burwood, VIC",4 cyl,SUV, 4 Doors, 5 Seats,16890
39,Audi,2022,Q3,2022 Audi Q3 40 Tfsi Quattro S Line,USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.2 L / 100 km,1031,Grey / -,"Alexandria, NSW",4 cyl,SUV, 4 Doors, 5 Seats,72990
40,Audi,2019,Q3,2019 Audi Q3 35 Tfsi S Tronic,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,7.2 L / 100 km,47279,White / Black,"Zetland, NSW",4 cyl,SUV, 4 Doors, 5 Seats,43880
41,Audi,2018,Q5,2018 Audi Q5 2.0 TDI Quattro Design,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.5 L / 100 km,125292,Silver / -,"Cardiff, NSW",4 cyl,SUV, 4 Doors, 5 Seats,34913
42,Audi,2012,A5,2012 Audi A5 2.0 Tfsi Quattro,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7.8 L / 100 km,133986,Gold / -,"Bentley, WA",4 cyl,Convertible, 2 Doors, 4 Seats,22999
43,Audi,2018,A3,2018 Audi A3 1.4 Tfsi Sportback COD,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5 L / 100 km,65068,Red / -,"Rozelle, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,31800
44,Audi,2022,A5,2022 Audi A5 45 Tfsi Quattro S Line Mhev,DEMO,-,"4 cyl, 2 L",AWD,Hybrid,7.1 L / 100 km,2253,White / Black/Black,"Southport, QLD",4 cyl,Coupe, 2 Doors, 4 Seats,99490
45,Audi,2014,A4,2014 Audi A4 2.0 Tfsi Quattro,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7 L / 100 km,101000,Blue / Black Leather,"Frankston, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,20888
46,Audi,2019,Q3,2019 Audi Q3 35 Tfsi S Tronic,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,7.2 L / 100 km,47307,White / Black,"Carlton, NSW",4 cyl,SUV, 4 Doors, 5 Seats,41888
