VehicleID,Brand,Year,Model,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
0,Abarth,2021,595,2021 Abarth 595 Competizione,USED,Manual,1.4,Front,Premium,6.0,13200,Black / Black,"Ryde, NSW",4.0,Hatchback,3,4,36990
1,Abarth,2021,595,2021 Abarth 595 Competizione,USED,Automatic,1.4,Front,Premium,5.8,14901,Grey / Black,"Pakenham, VIC",4.0,Hatchback,3,4,37990
4,Alfa,2015,Romeo,2015 Alfa Romeo Giulietta Quadrifoglio Verde,USED,Automatic,1.7,Front,Premium,7.0,98446,White / Black Leather,"Minchinbury, NSW",4.0,Hatchback,5,5,24995
5,Alfa,2008,Romeo,2008 Alfa Romeo 159 2.2 JTS,USED,Automatic,2.2,Front,Premium,9.2,104776,Grey / Black,"Ringwood, VIC",4.0,Sedan,4,5,12890
7,Alfa,2014,Romeo,2014 Alfa Romeo Mito Progression,USED,Manual,1.4,Front,Premium,5.6,92500,White / Black,"Hendra, QLD",4.0,Hatchback,3,5,10692
8,Alfa,2019,Romeo,2019 Alfa Romeo Stelvio Quadrifoglio,USED,Automatic,2.9,AWD,Premium,10.2,63319,Blue / Black,"Nunawading, VIC",6.0,SUV,4,5,91990
9,Alfa,2015,Romeo,2015 Alfa Romeo Giulietta Quadrifoglio Verde,USED,Automatic,1.7,Front,Premium,7.0,52269,Red / Black,"Chatswood, NSW",4.0,Hatchback,5,5,22880
12,Alfa,2012,Romeo,2012 Alfa Romeo 159 Sportwagon 2.4 JTD TI,USED,Automatic,2.4,Front,Diesel,8.0,199379,Black / Black,"Thomastown, VIC",5.0,Wagon,4,5,12990
21,Aston,2021,Martin,2021 Aston Martin DBX,DEMO,Automatic,4.0,AWD,Premium,12.4,13117,Grey / Obsidian Black,"Southport, QLD",8.0,SUV,5,5,369000
23,Audi,2022,Q3,2022 Audi Q3 35 Tfsi S Line,USED,Automatic,1.4,Front,Premium,7.3,13000,White / Black,"Artarmon, NSW",4.0,SUV,4,5,62890
25,Audi,2019,Q3,2019 Audi Q3 35 Tfsi S Tronic,USED,Automatic,1.4,Front,Premium,7.2,54143,Black / Black,"Maryville, NSW",4.0,SUV,4,5,42980
26,Audi,2014,SQ5,2014 Audi SQ5 3.0 TDI Quattro,USED,Automatic,3.0,AWD,Diesel,6.8,82548,Grey / Black,"Seaford, VIC",6.0,SUV,5,5,43999
30,Audi,2015,Q3,2015 Audi Q3 2.0 TDI Quattro (110KW),USED,Automatic,2.0,AWD,Diesel,5.2,132000,Grey / Black,"Sumner, QLD",4.0,SUV,4,5,21650
32,Audi,2018,A5,2018 Audi A5 2.0 Tfsi Quattro S Tronic Sprt,USED,Automatic,2.0,AWD,Premium,6.5,49472,White / Black,"Hoppers Crossing, VIC",4.0,Coupe,2,4,52990
34,Audi,2009,Q5,2009 Audi Q5 3.0 TDI Quattro,USED,Automatic,3.0,AWD,Diesel,7.5,163535,Silver / Black,"Petersham, NSW",6.0,SUV,4,5,14950
35,Audi,2019,A3,2019 Audi A3 40 Tfsi S Line Plus,USED,Automatic,2.0,Front,Premium,6.1,46595,Grey / Black,"Pennant Hills, NSW",4.0,Other,4,5,41880
37,Audi,2014,A3,2014 Audi A3 1.4 Tfsi Attraction COD,USED,Automatic,1.4,Front,Premium,4.7,84510,Grey / Grey,"Burswood, WA",4.0,Sedan,4,5,25900
38,Audi,2015,Q3,2015 Audi Q3 1.4 Tfsi (110KW),USED,Automatic,1.4,Front,Premium,5.9,224604,Black / Fz/Black,"Burwood, VIC",4.0,SUV,4,5,16890
40,Audi,2019,Q3,2019 Audi Q3 35 Tfsi S Tronic,USED,Automatic,1.4,Front,Premium,7.2,47279,White / Black,"Zetland, NSW",4.0,SUV,4,5,43880
44,Audi,2022,A5,2022 Audi A5 45 Tfsi Quattro S Line Mhev,DEMO,-,2.0,AWD,Hybrid,7.1,2253,White / Black/Black,"Southport, QLD",4.0,Coupe,2,4,99490
45,Audi,2014,A4,2014 Audi A4 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,7.0,101000,Blue / Black Leather,"Frankston, VIC",4.0,Sedan,4,5,20888
46,Audi,2019,Q3,2019 Audi Q3 35 Tfsi S Tronic,USED,Automatic,1.4,Front,Premium,7.2,47307,White / Black,"Carlton, NSW",4.0,SUV,4,5,41888
47,Audi,2016,A4,2016 Audi A4 2.0 Tfsi S Tronic Sport,USED,Automatic,2.0,Front,Premium,5.3,64801,Grey / Black Leather,"Berwick, VIC",4.0,Sedan,4,5,32999
48,Audi,2021,Q5,2021 Audi Q5 40 TDI Quattro Mhev,USED,Automatic,2.0,AWD,Hybrid,5.4,44493,White / Black,"Smeaton Grange, NSW",4.0,SUV,4,5,64888
49,Audi,2016,A3,2016 Audi A3 2.0 Tfsi Sportback,USED,Automatic,2.0,Front,Premium,5.9,45313,White / Black,"Zetland, NSW",4.0,Hatchback,5,5,31880
50,Audi,2020,RS,2020 Audi RS 7 4.0 Tfsi Quattro Mhev,USED,Automatic,4.0,AWD,Hybrid,11.6,43003,White / Dark,"Pennant Hills, NSW",8.0,Other,4,5,189990
51,Audi,2014,A5,2014 Audi A5 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,6.7,82119,White / Black,"Blacktown, NSW",4.0,Coupe,2,4,27380
52,Audi,2017,A3,2017 Audi A3 1.4 Tfsi Sportback COD,USED,Automatic,1.4,Front,Premium,5.0,34199,White / Black,"Tullamarine, VIC",4.0,Hatchback,5,5,38888
53,Audi,2019,S4,2019 Audi S4 3.0 Tfsi Quattro Tiptronic,USED,Automatic,3.0,AWD,Premium,7.7,26338,Grey / Black,"Tullamarine, VIC",6.0,Sedan,4,5,74888
54,Audi,2017,Q3,2017 Audi Q3 2.0 Tfsi Sport Quattro (132KW),USED,Automatic,2.0,AWD,Premium,6.7,56100,Grey / Black,"Zetland, NSW",4.0,SUV,4,5,34880
55,Audi,2023,S3,2023 Audi S3 2.0 Tfsi Quattro,DEMO,Automatic,2.0,AWD,Premium,7.3,2088,Yellow / Black/Black,"Artarmon, NSW",4.0,Sedan,4,5,87688
58,Audi,2022,A3,2022 Audi A3 35 Tfsi Mhev,USED,Automatic,1.5,Front,Premium,4.9,4142,White / Black,"Zetland, NSW",4.0,Sedan,4,5,47880
