,Price,Kilometres,Year,Age of Car
0,36990,13200,2021.0,3.0
1,37990,14901,2021.0,3.0
2,44824,17,2022.0,2.0
3,12995,136311,2014.0,10.0
4,24995,98446,2015.0,9.0
5,12890,104776,2008.0,16.0
6,28999,52820,2017.0,7.0
7,10692,92500,2014.0,10.0
8,91990,63319,2019.0,5.0
9,22880,52269,2015.0,9.0
10,10995,115050,2013.0,11.0
11,8999,154400,2013.0,11.0
12,12990,199379,2012.0,12.0
13,8999,215977,2014.0,10.0
14,76830,2100,2021.0,3.0
15,88,90000,2006.0,18.0
16,15800,132907,2015.0,9.0
17,437400,- / -,2023.0,1.0
18,399990,98,2022.0,2.0
19,119990,77296,2010.0,14.0
20,94999,94496,2006.0,18.0
21,369000,13117,2021.0,3.0
22,35996,61811,2018.0,6.0
23,62890,13000,2022.0,2.0
24,28980,145529,2014.0,10.0
25,42980,54143,2019.0,5.0
26,43999,82548,2014.0,10.0
27,29990,126292,2015.0,9.0
28,95800,47878,2019.0,5.0
29,36950,122811,2016.0,8.0
30,21650,132000,2015.0,9.0
31,51600,25431,2021.0,3.0
32,52990,49472,2018.0,6.0
33,43800,49264,2015.0,9.0
34,14950,163535,2009.0,15.0
35,41880,46595,2019.0,5.0
36,15683,46961,2014.0,10.0
37,25900,84510,2014.0,10.0
38,16890,224604,2015.0,9.0
39,72990,1031,2022.0,2.0
40,43880,47279,2019.0,5.0
41,34913,125292,2018.0,6.0
42,22999,133986,2012.0,12.0
43,31800,65068,2018.0,6.0
44,99490,2253,2022.0,2.0
45,20888,101000,2014.0,10.0
46,41888,47307,2019.0,5.0
47,32999,64801,2016.0,8.0
48,64888,44493,2021.0,3.0
49,31880,45313,2016.0,8.0
50,189990,43003,2020.0,4.0
51,27380,82119,2014.0,10.0
52,38888,34199,2017.0,7.0
53,74888,26338,2019.0,5.0
54,34880,56100,2017.0,7.0
55,87688,2088,2023.0,1.0
56,35990,49029,2018.0,6.0
57,18995,221294,2006.0,18.0
58,47880,4142,2022.0,2.0
59,42800,93753,2016.0,8.0
60,41990,60153,2017.0,7.0
61,57800,66657,2017.0,7.0
62,77977,52158,2020.0,4.0
63,31888,118379,2015.0,9.0
64,17990,127153,2010.0,14.0
65,61800,98169,2018.0,6.0
66,99800,26322,2021.0,3.0
67,46880,6845,2022.0,2.0
68,59990,74929,2017.0,7.0
69,43990,11788,2022.0,2.0
70,44888,51058,2019.0,5.0
71,24400,35741,2018.0,6.0
72,299990,2147,2022.0,2.0
