,Brand,Year,Model,Title,Transmission
0,Ssangyong,2022,Rexton,2022 Ssangyong Rexton Ultimate (awd),Automatic
1,MG,2022,MG3,2022 MG MG3 Auto Excite (with Navigation),Automatic
2,BMW,2022,430I,2022 BMW 430I M Sport,Automatic
3,Mercedes-Benz,2011,E500,2011 Mercedes-Benz E500 Elegance,Automatic
4,Renault,2022,Arkana,2022 Renault Arkana Intens,Automatic
5,Toyota,2004,Estima,2004 Toyota Estima T EDITION,Automatic
6,Land,2017,Rover,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,Automatic
7,Nissan,2000,Pulsar,2000 Nissan Pulsar LX,Automatic
8,Toyota,2013,86,2013 Toyota 86 GT,Automatic
9,Honda,2014,Jazz,2014 Honda Jazz Hybrid,Automatic
10,Toyota,2009,HiAce,2009 Toyota HiAce (No Badge),Automatic
11,Toyota,2018,HiAce,2018 Toyota HiAce LWB,Automatic
12,Honda,2015,City,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,Automatic
13,Toyota,2017,HiAce,2017 Toyota HiAce,Automatic
14,Toyota,2016,HiAce,2016 Toyota HiAce LWB,Automatic
15,Volkswagen,2012,Golf,2012 Volkswagen Golf 90 TSI Trendline,Automatic
16,BMW,2014,X3,2014 BMW X3 Xdrive 20D,Automatic
17,Mitsubishi,2013,Outlander,2013 Mitsubishi Outlander ES,Manual
18,BMW,2011,118D,2011 BMW 118D,Automatic
19,Ford,2014,Fiesta,2014 Ford Fiesta Sport,Automatic
20,Mitsubishi,2012,Outlander,2012 Mitsubishi Outlander LS (4X4),Automatic
21,Ford,2013,Fiesta,2013 Ford Fiesta Zetec,Automatic
22,Volkswagen,2023,Amarok,2023 Volkswagen Amarok Style TDI600 4Motion,Automatic
23,Honda,2018,Jazz,2018 Honda Jazz VTI,Automatic
24,Subaru,2012,Outback,2012 Subaru Outback 2.5I,Automatic
25,Mitsubishi,2018,Mirage,2018 Mitsubishi Mirage ES,Automatic
26,Toyota,2005,Camry,2005 Toyota Camry Altise,Automatic
27,BMW,2013,3,2013 BMW 3 Series 28i,Automatic
28,Hyundai,2011,I45,2011 Hyundai I45 Active,Automatic
29,Ford,2015,Territory,2015 Ford Territory TS (rwd),Automatic
30,Nissan,2018,Qashqai,2018 Nissan Qashqai ST,Automatic
31,Volkswagen,2013,Golf,2013 Volkswagen Golf GTI,Manual
32,Volkswagen,2023,T-Cross,2023 Volkswagen T-Cross 85TSI DSG FWD Life,Automatic
33,Hyundai,2015,Tucson,2015 Hyundai Tucson Active (fwd),Automatic
34,Ford,2016,Focus,2016 Ford Focus Trend,Automatic
35,Nissan,2019,X-Trail,2019 Nissan X-Trail ST 7 Seat (2WD),Automatic
36,Toyota,2021,Corolla,2021 Toyota Corolla ZR Hybrid,Automatic
37,Toyota,2007,Yaris,2007 Toyota Yaris YRS,Automatic
38,Jeep,2012,Grand,2012 Jeep Grand Cherokee WK Laredo Wagon 4dr Spts Auto 5sp 4x4 3.6i,Automatic
39,Toyota,2010,Corolla,2010 Toyota Corolla Conquest,Manual
41,Jeep,2015,Patriot,2015 Jeep Patriot Limited (4X4),Automatic
42,Toyota,2003,HiAce,2003 Toyota HiAce,Automatic
43,Volvo,2013,S60,2013 Volvo S60 T4 Teknik,Automatic
44,Mitsubishi,2016,Triton,2016 Mitsubishi Triton GLX Plus (4X4),Automatic
45,Mercedes-Benz,2010,E250,2010 Mercedes-Benz E250 CGI Elegance,Automatic
46,Mercedes-Benz,2013,A250,2013 Mercedes-Benz A250 Sport,Automatic
47,Toyota,2012,86,2012 Toyota 86 GT,Manual
48,Mazda,2022,CX-5,2022 Mazda CX-5 Maxx Sport (awd),Automatic
49,Toyota,2010,Corolla,2010 Toyota Corolla Ascent,Automatic
50,Ford,2013,Falcon,2013 Ford Falcon XR6,Automatic
51,Abarth,2021,595,2021 Abarth 595 Competizione,Manual
52,Honda,2014,CR-V,2014 Honda CR-V VTI-L (4X4),Automatic
53,Toyota,2007,Corolla,2007 Toyota Corolla Ultima,Automatic
54,Toyota,2016,HiAce,2016 Toyota HiAce Commuter,Automatic
55,Hyundai,2012,I30,2012 Hyundai I30 Active,Automatic
56,Mazda,2013,6,2013 Mazda 6 Touring,Automatic
57,Toyota,2008,Kluger,2008 Toyota Kluger KX-S (fwd),Automatic
58,Hyundai,2018,Santa,2018 Hyundai Santa FE Highlander Crdi (4X4),Automatic
59,BMW,2012,X3,2012 BMW X3 Xdrive 20D,Automatic
60,Holden,2016,Cascada,2016 Holden Cascada,Automatic
61,Mercedes-Benz,2006,ML320,2006 Mercedes-Benz ML320 CDI Luxury (4X4),Automatic
62,Mitsubishi,2009,Lancer,2009 Mitsubishi Lancer ES,Automatic
63,Audi,2014,A5,2014 Audi A5 2.0 Tfsi Quattro,Automatic
64,Kia,2018,RIO,2018 Kia RIO GT-Line,Automatic
65,Jeep,2015,Cherokee,2015 Jeep Cherokee Longitude (4X4),Automatic
66,Volkswagen,2011,Tiguan,2011 Volkswagen Tiguan 132 TSI (4X4),Automatic
67,Mitsubishi,2012,ASX,2012 Mitsubishi ASX (2WD),Automatic
68,BMW,2016,220I,2016 BMW 220I M-Sport,Automatic
69,Hyundai,2022,Tucson,2022 Hyundai Tucson (FWD),Automatic
70,Mazda,2011,3,2011 Mazda 3 NEO,Automatic
71,Volkswagen,2023,Tiguan,2023 Volkswagen Tiguan Allspace 132TSI Life,Automatic
72,Hyundai,2014,Imax,2014 Hyundai Imax,Automatic
73,Toyota,2014,Yaris,2014 Toyota Yaris YR,Automatic
74,Toyota,2016,Kluger,2016 Toyota Kluger Grande (4X2),Automatic
75,Mitsubishi,2013,Lancer,2013 Mitsubishi Lancer LX,Automatic
76,Subaru,2016,XV,2016 Subaru XV 2.0I-L,Automatic
77,Mini,2017,Cooper,2017 Mini Cooper S 5D Hatch,Automatic
78,Peugeot,2015,308,2015 Peugeot 308 T9 Allure Touring 5dr Spts Auto 6sp 2.0DT,Automatic
79,Holden,2010,Commodore,2010 Holden Commodore SS-V,Manual
80,Hyundai,2015,I20,2015 Hyundai I20 Active,Automatic
81,Mazda,2018,BT-50,2018 Mazda BT-50 XTR (4X2),Automatic
82,Mazda,2009,3,2009 Mazda 3 Maxx,Automatic
83,Hyundai,2011,I20,2011 Hyundai I20 Active,Automatic
84,Honda,2015,Vezel,2015 Honda Vezel Hybrid Z,Automatic
85,Mazda,2010,CX-7,2010 Mazda CX-7 Luxury Sports (4X4),Automatic
86,Jeep,2017,Renegade,2017 Jeep Renegade Limited,Automatic
87,Mazda,2013,6,2013 Mazda 6 Sport,Automatic
88,Nissan,2009,Elgrand,2009 Nissan Elgrand Highway Star,Automatic
89,Kia,2013,Grand,2013 Kia Grand Carnival SLI,Automatic
90,Mitsubishi,2015,Lancer,2015 Mitsubishi Lancer ES Sport,Automatic
91,Subaru,2018,Impreza,2018 Subaru Impreza 2.0I (awd),Automatic
92,Mazda,2014,3,2014 Mazda 3 NEO,Automatic
93,BMW,2021,X4,2021 BMW X4 Xdrive20I M Sport,Automatic
95,Audi,2015,A5,2015 Audi A5 2.0 Tfsi Quattro,Automatic
96,BMW,2014,118I,2014 BMW 118I,Automatic
97,Mercedes-Benz,2012,C-CLASS,2012 Mercedes-Benz C-CLASS W204 BlueEFFICIENCY Avantgarde Sedan 4dr 7G-TRONIC 7sp 1.8T,Automatic
98,Toyota,2013,HiAce,2013 Toyota HiAce DX,Automatic
99,Subaru,2007,Impreza,2007 Subaru Impreza WRX STI,Manual
100,Audi,2014,Q7,2014 Audi Q7 4.2 TDI Quattro,Automatic
101,Suzuki,2015,Celerio,2015 Suzuki Celerio,Automatic
